@AppleSupport are the call centres closed for the night?,,,,,,,,,,,,,,,,,COMPLAIN,(OR SUGGEST)
@AppleSupport updating xcode via appstore. 7-min remaining 6-hr ago. 1-min rem for over an hour. Why? My net bandwidth is good.,,,,,,,,,,,,,,,,,,
"@AppleSupport after I upgraded my iPhone to iOS 11.0.3, the back camera and the flash stopped working. Could you do something?",,,,,,,,,,,,,,,,,,
"@AppleSupport @118244 So what has become of this issue? Many users are still complaining about this? What is the explanation? What is the implication? What is the solution, if needed?",,,,,,,,,,,,,,,,,,
@AppleSupport is my #IphoneX really going to ship between December 5-11? I preorder right when preordering open at 12:01,,,,,,,,,,,,,,,,,,
@115858 @AppleSupport how will iphone x recognize me with face id if I am wearing my du rag?,,,,,,,,,,,,,,,,,,
@115858 @AppleSupport any suggestions???,,,,,,,,,,,,,,,,,,
@AppleSupport It's a shame that Siri can't be used to turn off the timer. Pain to do it with messy hands. Send to the idea file?,,,,,,,,,,,,,,,,,,
@AppleSupport is there a way to opt out of iMessage and FaceTime during initial setup on an iPhone?,,,,,,,,,,,,,,,,,,
@AppleSupport Why do you keep charging my card for FREE apps? Im not happy at all.,,,,,,,,,,,,,,,,,,
@115858 @AppleSupport sooooooo any plans to fix all these bugs from the software updates for the iPhone 7??,,,,,,,,,,,,,,,,,,
"@AppleSupport Im using iPhone6s,it is installed with iOS 11.0.3 n battery drain problem is not resolved in it.When they resolve this issue in wht update?",,,,,,,,,,,,,,,,,,
"@118721 @AppleSupport my iPhone is not syncing and stuck on 'Copying diagnostic information'? 6s, latest version iOS and iTunes.",,,,,,,,,,,,,,,,,,
@AppleSupport MacOS Sierra is taking up over 100G of my 120G SSD. Why does it take up that much space and can I do anything about it?,,,,,,,,,,,,,,,,,,
"4 hrs w/iOS 11.1, no change in battery consumption @AppleSupport. Thanks anyway. Can we have iOS 10 back @115858?",,,,,,,,,,,,,,,,,,
Anyone else having battery issues in IPhone? Degrading way to fast. @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport why my phone doing this????,,,,,,,,,,,,,,,,,,
"@AppleSupport the screen had green lines on one side and then stopped working altogether. Afraid I can't remember the OS, I expect it was in the latest OS when it broke about 8 weeks ago if hat helps?",,,,,,,,,,,,,,,,,,
"@120494 @120495 @TMobileHelp @117735 @VerizonSupport @AppleSupport I mean, I'd love to hear about the best 3 line plans?:)",,,,,,,,,,,,,,,,,,
@AppleSupport My MacPro is burning up while in sleep mode. Reliably returning to a computer thats been overheating for hours. Who pays when something burns out on a super expensive machine due to a glitch?! #Apple #MacPro,,,,,,,,,,,,,,,,,,
@115858 @AppleSupport my phone crashed for no reason. What you gonna do about it? I'm stressed and depressed right now. Thanks,,,,,,,,,,,,,,,,,,
@AppleSupport Thanks! But it used to be so nice when I could limit the number of episodes downloaded but still have some pre-downloaded for flights n things. Is the setting coming back?,,,,,,,,,,,,,,,,,,
"@AppleSupport Hi, it looks like I can no longer set the Podcasts app to only keep two recent episodes, and now a bunch of my podcasts are piling up and eating up my storage. Am I missing something or is this setting gone forever?",,,,,,,,,,,,,,,,,,
@AppleSupport So how many attempts do I get and what happens if i Enter the wrong code???,,,,,,,,,,,,,,,,,,
@AppleSupport can I get any help on here?? Or is this not a support account at all?,,,,,,,,,,,,,,,,,,
@AppleSupport why does it keep changing to I.T?,,,,,,,,,,,,,,,,,,
@AppleSupport Maybe it's the phone making problems? Maybe I should do the iOS updates?,,,,,,,,,,,,,,,,,,
@AppleSupport force touch for app multitask gone in iOS11 ?,,,,,,,,,,,,,,,,,,
"@AppleSupport Sometimes they're connected, sometimes they're not. Sometimes it even says bluetooth not available in the bar on top yet one will be connected!? Started after I updated.",,,,,,,,,,,,,,,,,,
"@AppleSupport @115714 Can anyone elaborate on this? I was able to get a MMS through on the Sprint services but when connected to any wifi, yes I have tried multiple, it will not progress past 95%. What gives @applesupport why is my Iphone 7 Plus unable to do this? Time to switch to @122609 ?",,,,,,,,,,,,,,,,,,
I am so freaking tired of my iPhone not being able to send pictures in text messaging. I have MMS turned on and I have reset my network settings. Anyone have a suggestion? @AppleSupport @115714,,,,,,,,,,,,,,,,,,
Who can ship me a 256 gb Space Gray IPhone X on Launch day? @117735 @sprintcare @TMobileHelp @VerizonSupport @AppleSupport,,,,,,,,,,,,,,,,,,
@115858 HELP how can I fix this problem immediately ? #Apple #iOS11 @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport But this does not solve the battery. When will they provide an update that resolves battery consumption?,,,,,,,,,,,,,,,,,,
"@AppleSupport Why can't I log into my icloud on my Iphone 7 plus?  My phone updated, logged me out of everything and won't take new pw.",,,,,,,,,,,,,,,,,,
"After the last update, I cannot hear my phone calls. What is happening? @115858 @AppleSupport",,,,,,,,,,,,,,,,,,
Nope. @AppleSupport what is going on?,,,,,,,,,,,,,,,,,,
@AppleSupport how can I unsubscribe to an auto renewing app in my iPhone?,,,,,,,,,,,,,,,,,,
@AppleSupport My iPhone screen glass is completely cracked. Still the touch screen works. Can I change the glass alone or the display too?,,,,,,,,,,,,,,,,,,
Hey @AppleSupport @115948 it seems like my music library does not save my spot in the library if I leave the app. I do not close the app I just pause for about an hour and then it forgets my spot? Can you guys fix this in your next update please? Thanks!!!,,,,,,,,,,,,,,,,,,
@AppleSupport Is there any possibility to combine two Apple-IDs?,,,,,,,,,,,,,,,,,,
@AppleSupport How can you release something with so many bugs?! Was it even tested?,,,,,,,,,,,,,,,,,,
@AppleSupport is there a way I can uninstall iOS 11 and go back to 10?,,,,,,,,,,,,,,,,,,
@AppleSupport why on my Apple Watch series 3 when I start the activity tracker on stair stepper it shows 0 total and active calories?,,,,,,,,,,,,,,,,,,
@AppleSupport - iPhone 6S Plus suddenly losing battery life since yesterday - % goes down by the second. Any ideas on what it might be?,,,,,,,,,,,,,,,,,,
@AppleSupport How can I connect an external microphone to diphone 6S to optimize the sound with video?,,,,,,,,,,,,,,,,,,
@AppleSupport Hoe kan ik de externe microfooningang van mijn iPhone 6S blijven gebruiken voor een professionele microfoon?,,,,,,,,,,,,,,,,,,
@AppleSupport When will fix the problem with activation (error 0xE8000013)? Or your phones are now disposable?,,,,,,,,,,,,,,,,,,
@AppleSupport are you able to turn off the automatic brightness on this iOS update?,,,,,,,,,,,,,,,,,,
"@AppleSupport my iPhone 6 has deleted all my notes.  Not using email, not using cloud.  Didn't delete them.  How do I get them back?",,,,,,,,,,,,,,,,,,
@AppleSupport what the hell is wrong with ur new update?? My phone keeps getting stuck and powering off (unresponsive). Get ur shit together,,,,,,,,,,,,,,,,,,
@AppleSupport why is my alarm sound not working when on silent and volume on lock screen not working after the update??,,,,,,,,,,,,,,,,,,
"@AppleSupport why does the podcast app freeze up and not work, constantly?",,,,,,,,,,,,,,,,,,
"Hello,i have a question but i'm not sure is that possible, we have 150 ipads and we use apple configurator 2 for install apps to devices. First we connect devices to imac then we install with app configurator, can we install apps without connect to imac ?@AppleSupport #apple",,,,,,,,,,,,,,,,,,
@AppleSupport I made an appt at Bridgeport on the phone. Rcvd no email. Can you please check if I have an appt?,,,,,,,,,,,,,,,,,,
@AppleSupport Can you DM me please? Am really stuck!! x,,,,,,,,,,,,,,,,,,
@AppleSupport Does this mean I as a musical artist have to enrol as an Apple Developer? All I want to do is set my Artist Photo on Apple Music!! xx,,,,,,,,,,,,,,,,,,
@applesupport Upgraded to #macOS #HighSierra - noticed that my iMessages/SMS are coming in out of order. Appear fine on my iPhone. Thoughts?,,,,,,,,,,,,,,,,,,
I go to send one text and my phone battery went from 56% to 38% ??? @AppleSupport . It has also dropped to 32% while typing this tweet.,,,,,,,,,,,,,,,,,,
When the update will be available?  iOS 11.1 @AppleSupport.,,,,,,,,,,,,,,,,,,
@applesupport is it possible to modify force touch actions on my Mac? For example make force touch click open a new tab.,,,,,,,,,,,,,,,,,,
@AppleSupport Mmmmm any word? What is going on?,,,,,,,,,,,,,,,,,,
"@AppleSupport hi, do you have a Tip, how to clean Nike+ Sport Loop Watch Bands?",,,,,,,,,,,,,,,,,,
"@AppleSupport hey, I just tried download the Final Cut Pro X trial but it says it's incompatible with High Sierra. Can I not download then?",,,,,,,,,,,,,,,,,,
"@AppleSupport since the latest iOS update, my iphone6 is a lot choppier and slower. Anything I can do?",,,,,,,,,,,,,,,,,,
@AppleSupport Why did iOS 11 absolutely cripple my phone?,,,,,,,,,,,,,,,,,,
@AppleSupport any possibility to do that without completely wiping the memory? Thanks! 2/2,,,,,,,,,,,,,,,,,,
"@AppleSupport hi, how long is the 20 months 0% interest for iPhone x offer on for?",,,,,,,,,,,,,,,,,,
"@AppleSupport Do movies listed as DolbyVision in Tunes also support HDR10? Or is this random? Curiously, they are always listed as either or",,,,,,,,,,,,,,,,,,
@AppleSupport And when is the summer free is going to be released?,,,,,,,,,,,,,,,,,,
@AppleSupport Any reason why my Apple Watch October challenge suddenly disappeared yesterday? I completed it but it never filled in.,,,,,,,,,,,,,,,,,,
"@AppleSupport the charging screening is now showing, now what?",,,,,,,,,,,,,,,,,,
@AppleSupport my iphone 7 back up would not restore onto my X today. Lost all my text message history and apps as I had to set up from new. Any way I can get them back?,,,,,,,,,,,,,,,,,,
@AppleSupport Can we speak via email? __email__,,,,,,,,,,,,,,,,,,
@AppleSupport I lost more than 1 year activity data! Is this a joke? After reinstalling my back up why the hell I cannot get my Activity data?!,,,,,,,,,,,,,,,,,,
@AppleSupport how can i reset security questions?i face this error:We don't have sufficient information to reset your security questions.,,,,,,,,,,,,,,,,,,
@AppleSupport @115858 would I ever receive a txt saying my apple account had been locked and a link to a website to verify it? Seems odd!,,,,,,,,,,,,,,,,,,
@AppleSupport @SpotifyCares since ios 11 i cant skip songs on bluetooth and i no longer have spotify on my home screen or the swipe up? help,,,,,,,,,,,,,,,,,,
@AppleSupport @115858 I am waiting from 25 days for the issue in my iPhone to be resolved .how much time will it take?,,,,,,,,,,,,,,,,,,
"My whatsapp chats wiped, now it's been backed up with 0 texts - how can I get them all back from previous back ups? @AppleSupport",,,,,,,,,,,,,,,,,,
@AppleSupport upgraded to iOS 11.1 today from 11.03 and iMessage has stopped working and will not activate. Suggestions?,,,,,,,,,,,,,,,,,,
@AppleSupport hey guys any news on why Apple Pay isnt working. Is this a global issue or just UK?,,,,,,,,,,,,,,,,,,
iOS11.1 update available. Let's hope this sorts the horrific battery life since the last one eh @AppleSupport?,,,,,,,,,,,,,,,,,,
@AppleSupport hello?,,,,,,,,,,,,,,,,,,
@AppleSupport @124871 is there a way to close all open apps and return to home screen at once with Apple classroom?,,,,,,,,,,,,,,,,,,
@AppleSupport is de update 4.2 niet voor de Apple watch 1?,,,,,,,,,,,,,,,,,,
@124883 @AppleSupport Seriously???,,,,,,,,,,,,,,,,,,
@AppleSupport Is it now GA? I thought it was still in beta,,,,,,,,,,,,,,,,,,
@124887 @AppleSupport Mine actually got better. What device?,,,,,,,,,,,,,,,,,,
"@AppleSupport ""Time to Stand"" stopped working? Select Watch Icon, Select Health Icon, Set Wheelchair to ""No"".",,,,,,,,,,,,,,,,,,
@AppleSupport Can you pair 2 AirPods to one iCloud account?,,,,,,,,,,,,,,,,,,
@AppleSupport Sierra?,,,,,,,,,,,,,,,,,,
Hey @AppleSupport why did the iPhone update completely purge my downloaded music library? #notcool,,,,,,,,,,,,,,,,,,
@AppleSupport Where exactly?,,,,,,,,,,,,,,,,,,
"@AppleSupport At the apple store in Paris, can I buy an iPad by paying half in cash and half in credit card?",,,,,,,,,,,,,,,,,,
@AppleSupport why do I have all these ? boxes on my timeline since I updated my phone...fix this trash.,,,,,,,,,,,,,,,,,,
The new #IOS update is killing my battery. Why is this happening? @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport  can you guys fix the software issue with the camera? I need this for my job. No issues when using it through Twitter app,,,,,,,,,,,,,,,,,,
iPhone battery went from 100 to 54 in just 40 minutes. I updated the iOS yesterday. What gives? @AppleSupport,,,,,,,,,,,,,,,,,,
Hey @AppleSupport my iCloud mail is getting hammered with spam. Did you turn off filters? Under attack? LMK.,,,,,,,,,,,,,,,,,,
@AppleSupport when are u releasing fix for #iOS #1103 ? it sucks,,,,,,,,,,,,,,,,,,
@AppleSupport is there any cure for a MBP that doesn't want to go to sleep?,,,,,,,,,,,,,,,,,,
Hey @AppleSupport is the iPhone 8 actually waterproof ? So I can go under water with it in a swimming pool ?,,,,,,,,,,,,,,,,,,
@AppleSupport Hey Apple! Having issues with my ID and already changed my password. Trying to update my computer but says ID is disabled?,,,,,,,,,,,,,,,,,,
@AppleSupport is it possible to get a 2011 MacBook Pro battery serviced in store?,,,,,,,,,,,,,,,,,,
Hey @115858 @AppleSupport why does High Sierra keep crashing my Mac? its crashed 6 times in a day so far.,,,,,,,,,,,,,,,,,,
@AppleSupport what happened to your devices! I have 2 phones that are not working now! 6s and SE! Should we switch to @125607 ??,,,,,,,,,,,,,,,,,,
@AppleSupport Do I have to do an account recovery?? Which I have to wait 24 hours for??,,,,,,,,,,,,,,,,,,
@AppleSupport help I logged out of my Apple ID account and the verification code is sent to a broken phone????,,,,,,,,,,,,,,,,,,
"@AppleSupport Sorry, what is DM?",,,,,,,,,,,,,,,,,,
"@AppleSupport I am from the US but I live in China. Is it possible to have my iPhone/Mac iCloud linked to my Chinese info (bank, address), and separate Apple ID linked to my U.S. info (bank, address)?..Want to keep my iCloud storage in China but use App Store/Apple music from US",,,,,,,,,,,,,,,,,,
@AppleSupport hello how can I check if my phone is locked to a network? I'm going abroad and want to put in a different sim,,,,,,,,,,,,,,,,,,
@AppleSupport I already did. And I received the money back. But I'm not sure what I'm supposed to do with the songs now. Do I delete them or ?,,,,,,,,,,,,,,,,,,
"@AppleSupport Why does the ""Preserve Live Photo"" setting no longer apply to iMessage photos? Used to work. Now always takes live photos.",,,,,,,,,,,,,,,,,,
@AppleSupport What did i wrong? Any version of ios 11 drains my battery. I have to charge It twice a day. Apple please....,,,,,,,,,,,,,,,,,,
@AppleSupport Having some battery issues. Any way to check it?,,,,,,,,,,,,,,,,,,
@127410 @AppleSupport con la nueva version de sistema tarda 3 minutos en descargar video de 14 segundos.Como regreso a anterior?,,,,,,,,,,,,,,,,,,
@AppleSupport  I can receive on my facetime - MacBook air. However if I try to vidcall the other person won't get my call. What can I do?,,,,,,,,,,,,,,,,,,
@127416 @115858 @AppleSupport @AppleSupport can u acknowledge that you're looking into a solution for this!? It is very frustrating to not be able to type work emails!!!,,,,,,,,,,,,,,,,,,
@AppleSupport are you going to fix our phones from glitching ???,,,,,,,,,,,,,,,,,,
@127600 @AppleSupport Yah maybe we need to update the system?,,,,,,,,,,,,,,,,,,
All of my pictures magically got deleted somehow. @AppleSupport??? What the shit? I go from 3K to 600 fuck is up?,,,,,,,,,,,,,,,,,,
@AppleSupport why since my 7s was updated am I having trouble sending picture messages? It freezes when I try to select person to send to.,,,,,,,,,,,,,,,,,,
@AppleSupport why do I have to do a hard reset to download apps?  Started with iOS 11,,,,,,,,,,,,,,,,,,
"@AppleSupport I have iOS 11.0.3 and my keyboard keeps autocorrecting the letter i to a weird symbol similar to ""A ?"" and it won't change.",,,,,,,,,,,,,,,,,,
Ayo @AppleSupport - since updating to iOS11 my 7+ almost always dies around the 17/18% battery mark. Any solutions?,,,,,,,,,,,,,,,,,,
Anybody else experiencing the @AppleSupport bug where the letter I turning into a weird set of glyphs? #Igate,,,,,,,,,,,,,,,,,,
@AppleSupport @115858 @2310 wouldn't it be a crazy thing if your phones didn't periodically erase all the contacts on it? Crazy. I know,,,,,,,,,,,,,,,,,,
@AppleSupport Same response as the image I sent. Can I DM my email for you guys to check? Thanks a lot! :),,,,,,,,,,,,,,,,,,
@AppleSupport Hi. I cannot reset the security questions after I logged in my account. What to do? :/,,,,,,,,,,,,,,,,,,
"@AppleSupport Also, why do my AirPods suddenly stop playing music after being connected for awhile?",,,,,,,,,,,,,,,,,,
"@AppleSupport And if I delete the alias and create a new Apple ID, could I bring all of my devices and purchases to the new one?",,,,,,,,,,,,,,,,,,
"@AppleSupport Hi, Could I change my Apple ID (from iTools time) to a new one with my surname which I already use for mail purposes? Thanks",,,,,,,,,,,,,,,,,,
@AppleSupport If I tether my iPad to my iPhone is there a way to minimize data txfr? Would turning off background app refresh make a diff?,,,,,,,,,,,,,,,,,,
@AppleSupport why is my whole phone messed up after 3 back to back updates ? Why do I have question marks In replace of an emoji ?,,,,,,,,,,,,,,,,,,
@AppleSupport why is that happening to my capital letter i?,,,,,,,,,,,,,,,,,,
@AppleSupport Also it said I need to sign in on that page it sends me to and I have until November 2 to cancel it. Does that make sense?,,,,,,,,,,,,,,,,,,
"@AppleSupport Is there a new fishing email going around? I got a suspicious 1 saying I signed up for magic piano, no such thing on my device",,,,,,,,,,,,,,,,,,
@AppleSupport is there any way I can check the overall battery health of my 7+?,,,,,,,,,,,,,,,,,,
@AppleSupport why is my phone acting up saying im out of storage? How do I go from 60gb then delete Spotify(3gb) and end up with 59gb,,,,,,,,,,,,,,,,,,
"@AppleSupport hi, i want to know why iPhone 8 pictures look  darker than when I take them , should I change something ?",,,,,,,,,,,,,,,,,,
@AppleSupport Will you please put the texting from the photo app option back? It is super annoying having to get out of photos to txt a pic.,,,,,,,,,,,,,,,,,,
"@AppleSupport Why do you only reply to new issues, immediately move them to DM, then ignore them?",,,,,,,,,,,,,,,,,,
It's happening not just in iMessage and sometimes appears correct on my phone but not my computer???? @applesupport HELP,,,,,,,,,,,,,,,,,,
"@AppleSupport Hi, do you have french support ?I want to change my delivery address on an order placedThanls",,,,,,,,,,,,,,,,,,
Apps constantly freezing on my 8 Plus today.... anyone else????? @AppleSupport @115858,,,,,,,,,,,,,,,,,,
Is App Store down? @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport When do the phones ship to the retailers? Best Buy is still waiting on the phones they say,,,,,,,,,,,,,,,,,,
Hey @AppleSupport Is the @118936 down?,,,,,,,,,,,,,,,,,,
@AppleSupport why does my lock screen when playing music freeze and not let me skip or go back or anything?,,,,,,,,,,,,,,,,,,
"@AppleSupport All my photos keep being removed from my phone, after connecting it to my laptop they all get restored but it keeps happening?",,,,,,,,,,,,,,,,,,
@AppleSupport could you please tell me how do I reserve an iPhone X at 6am in the morning online? As I went into 2 branches in Manchester and was told to reserve one from online. Thank you,,,,,,,,,,,,,,,,,,
@AppleSupport just got the iPhone 10 where game central app gone cart seem 2 find it?,,,,,,,,,,,,,,,,,,
@AppleSupport does apple care cover stolen iPhone?,,,,,,,,,,,,,,,,,,
Why does my iPhone keep randomly vibrating? @AppleSupport #FirstWorldProblems,,,,,,,,,,,,,,,,,,
@AppleSupport any way to check the overall battery health of my iphone?,,,,,,,,,,,,,,,,,,
@AppleSupport after downloading watchOS 4.1 Apple Music app downloads and freezes at 75% for hours. Any insight?,,,,,,,,,,,,,,,,,,
@AppleSupport how can I add Night Mode to the control center in the new iOS?,,,,,,,,,,,,,,,,,,
@AppleSupport Will Apple Remote Desktop allow me to connect to something on a different network? 2/2 thanks for any help,,,,,,,,,,,,,,,,,,
"@AppleSupport I guess my real question is has there been a record of other people coming forward with the same screen distortion problems? if so, i won't worry as much, as freaky as it looks.",,,,,,,,,,,,,,,,,,
@AppleSupport what do you mean by DM ?,,,,,,,,,,,,,,,,,,
"@AppleSupport my iPhone is basically useless, when is a new update due?",,,,,,,,,,,,,,,,,,
When are you bringing the Do Not Disturb icon back @AppleSupport @115858 ? Only big complain on X. And not just me....,,,,,,,,,,,,,,,,,,
"@AppleSupport lost my iPhone, not where iPad ""lost my"" says.. What should I do?",,,,,,,,,,,,,,,,,,
@AppleSupport did option to mute individual iMessage threads disappear in #iOS11?,,,,,,,,,,,,,,,,,,
Does criminal case game or 8 ball pool drains battery? I am at ios 10.3.3 and my phone was 100% when i slept and now it 39%. @AppleSupport @134114 @134115 @115858,,,,,,,,,,,,,,,,,,
@AppleSupport hi ! Can we have my battery health on my iPhone 6 checked ?,,,,,,,,,,,,,,,,,,
@AppleSupport WHY THE FUCK AM I STILL SEEING QUESTION MARK BOXES IM UPDATED AF WHY????????,,,,,,,,,,,,,,,,,,
"Yeah, so I can't open my text messages, or ANY other app on my phone for more then 1 second and it crashes. Hello @AppleSupport ?",,,,,,,,,,,,,,,,,,
@AppleSupport is Night Shift intentionally not a control center button on iPhone X?,,,,,,,,,,,,,,,,,,
@AppleSupport wait huh ?!?,,,,,,,,,,,,,,,,,,
"So @AppleSupport @115858: you have Facebook integration in MacOS 10, but have *removed* it from iOS11?? So, Facebook Events appear in my desktop iCal, but NOT on my iPhone without having to subscribe to them on my phone calendar separately, creating duplicates on my desktop? LAME.",,,,,,,,,,,,,,,,,,
@AppleSupport I deleted texts by mistake. iPhone backed up automatically and erased last backups. Unable to restore backup cuz older backups don't appear on iTunes to select from although I see it in my computer. No iCloud backup. Can I do anything to retrieve the texts?,,,,,,,,,,,,,,,,,,
@AppleSupport Will the Apple 4k TV support HDMI 2.1? You sell the cables but will the cables work with the 4k Apple TV.,,,,,,,,,,,,,,,,,,
Where i can send a bug report for iOS? (No beta) @AppleSupport,,,,,,,,,,,,,,,,,,
@115858 @AppleSupport any chance that you can look into this?,,,,,,,,,,,,,,,,,,
@AppleSupport I had them saved on my Computer and all was restored but why do they all disappear?,,,,,,,,,,,,,,,,,,
@AppleSupport is it normal for me to have to restart my Apple TV everyday to get it to work?,,,,,,,,,,,,,,,,,,
@AppleSupport 11.1.2(I5B202) is that right?,,,,,,,,,,,,,,,,,,
@AppleSupport my iPhone won't let me delete any of my photos. I click delete and then they come back within seconds?!,,,,,,,,,,,,,,,,,,
"@AppleSupport Yes, it just said restoring at the bottom and everything went back to normal, any idea why it does that?",,,,,,,,,,,,,,,,,,
@AppleSupport battery awful since update IOS 11.1 why?? Can I go back and undo update??,,,,,,,,,,,,,,,,,,
"@AppleSupport heb half jaar nieuwe #MacBook en dan dit probleem met #toetsenbord. Contact gehad met jullie supportchat. Zij kunnen niets doen, advies: MacBook opsturen, 4-6 weken kwijt, onduidelijk of t in garantie is. Ik kan MacBook niet zo lang kwijt. Weten jullie meer?",,,,,,,,,,,,,,,,,,
@115858 @AppleSupport Thanx for making imovie 1.10.8 unuseable! I cant even find a toolbar! Why ?,,,,,,,,,,,,,,,,,,
ok why did my phone run out of battery at 45% ? @AppleSupport smh,,,,,,,,,,,,,,,,,,
@AppleSupport ever since iOS 11 update my brightness has been absolutely screwed. Any suggestions??,,,,,,,,,,,,,,,,,,
"Dear @AppleSupport, we noticed a *HUGE* security issue at MacOS High Sierra. Anyone can login as ""root"" with empty password after clicking on login button several times. Are you aware of it @115858?",,,,,,,,,,,,,,,,,,
Just received new unit of iPhone X. First had horrible yellow screen and this is even worse. Is @AppleSupport gonna finally admit that the some screens are not as good as they claim to be? @116333 #Apple #iPhoneX,,,,,,,,,,,,,,,,,,
@135595 @135593 @AppleSupport @115858 Pudiste restaurarlo? A mi me sale el mismo error igual se supone que sigue firmado,,,,,,,,,,,,,,,,,,
@AppleSupport hello I do not find on your website an iphone x as big as an iPhone SE? #littlehands,,,,,,,,,,,,,,,,,,
"@AppleSupport Thanks for the lead, but still got activation issues. What's the best way to get more help?",,,,,,,,,,,,,,,,,,
@AppleSupport The last upgrade really messed up my macbook. It works way too slower and spends 10%~/h charge. Is it normal?,,,,,,,,,,,,,,,,,,
Four videos are suddenly gone from my phone...would the automatic iCloud backing-up do that? Clear space by transferring them there?? That's the only thing that could make any sense. @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport is there any way I can check if someone had an access to my laptop due #iamroot security issue?,,,,,,,,,,,,,,,,,,
"@AppleSupport I purchased a Macbook Pro 13"" Touchbar and within 4 days discovered keys were going hard, not inputting properly - should this machine be immediately replaced. If it has to go into a repair centre first, can you say why?",,,,,,,,,,,,,,,,,,
"@AppleSupport excuse me,I'm got a refund confirmation email but nothing happened.Do I have to do anythings?",,,,,,,,,,,,,,,,,,
HELP.Why does my iPhone 5 se not record long videos?I have 34mb free on my phone everything else is in the cloud except for running apps.34mb and it will only take 50sec video?RAGING!!! @AppleSupport #iPhone #Help #iphoneproblems,,,,,,,,,,,,,,,,,,
@AppleSupport how do I cancel my Apple music trial there is no option to?,,,,,,,,,,,,,,,,,,
@AppleSupport OK. So why whenever I close my Macbook or let my screen sleep I have to power it off and on to make it work? Shouldn't have upgraded.,,,,,,,,,,,,,,,,,,
"@AppleSupport hello, my iPhone 7 keeps crashing? Help",,,,,,,,,,,,,,,,,,
@AppleSupport been trying to get help on the website for hours. No response and nobody free to chat to. I can't update my phone and I think it has a virus. Any help?,,,,,,,,,,,,,,,,,,
@AppleSupport Why are you not warning customers about the elaborate scam I just experienced yesterday?!?,,,,,,,,,,,,,,,,,,
@AppleSupport Apple Music?? That way I've lost a lot of unnecessary money and I still can't listen to albums and single offline or most of the time even with WIFI because it keeps telling me I need an Apple Music plan for my ITUNES music?? please help,,,,,,,,,,,,,,,,,,
@AppleSupport I just came back from Apple Reseller for a dying iPhone speaker. They asked for my  password in front of every other customers (the phone was as the back of the store). Is it the normal procedure??? I refused.,,,,,,,,,,,,,,,,,,
@AppleSupport why is my battery dying twice as fast on my brand new iphone x than it did on my year old iphone 7+ ?? like seriously the battery is  draining super quick,,,,,,,,,,,,,,,,,,
"@AppleSupport My iPad says the software up to date, but I can't find the new emojis. Can you help please?",,,,,,,,,,,,,,,,,,
Does Apple Pay work via text as yet? @AppleSupport,,,,,,,,,,,,,,,,,,
"@AppleSupport : when a purchase to gift at a later day is made , will the charges take place at the moment of the purchase or on the delivery date ?",,,,,,,,,,,,,,,,,,
Why does my @115858 iPhone randomly capitalise letters? @AppleSupport #iOS,,,,,,,,,,,,,,,,,,
@AppleSupport Is there a way to have Siri insert punctuation automatically when dictating a text message?,,,,,,,,,,,,,,,,,,
