TYPE,TEXT
ICLOUD,"@AppleSupport I am from the US but I live in China. Is it possible to have my iPhone/Mac iCloud linked to my Chinese info (bank, address), and separate Apple ID linked to my U.S. info (bank, address)?..Want to keep my iCloud storage in China but use App Store/Apple music from US"
NETWORK,@AppleSupport hello how can I check if my phone is locked to a network? I'm going abroad and want to put in a different sim
HARDWARE,@AppleSupport What did i wrong? Any version of ios 11 drains my battery. I have to charge It twice a day. Apple please....
HARDWARE,@AppleSupport Having some battery issues. Any way to check it?
IOS,@127600 @AppleSupport Yah maybe we need to update the system?
COMPLAIN,All of my pictures magically got deleted somehow. @AppleSupport??? What the shit? I go from 3K to 600 fuck is up?
IOS,@AppleSupport why since my 7s was updated am I having trouble sending picture messages? It freezes when I try to select person to send to.
HARDWARE,Ayo @AppleSupport - since updating to iOS11 my 7+ almost always dies around the 17/18% battery mark. Any solutions?
IOS,@AppleSupport why is my whole phone messed up after 3 back to back updates ? Why do I have question marks In replace of an emoji ?
HARDWARE,@AppleSupport is there any way I can check the overall battery health of my 7+?
PURCHASE,@AppleSupport When do the phones ship to the retailers? Best Buy is still waiting on the phones they say
APPS,@AppleSupport why does my lock screen when playing music freeze and not let me skip or go back or anything?
HARDWARE,@AppleSupport any way to check the overall battery health of my iphone?
NETWORK,@AppleSupport Will Apple Remote Desktop allow me to connect to something on a different network? 2/2 thanks for any help
HARDWARE,"@AppleSupport I guess my real question is has there been a record of other people coming forward with the same screen distortion problems? if so, i won't worry as much, as freaky as it looks."
COMPLAIN,"@AppleSupport my iPhone is basically useless, when is a new update due?"
HUMAN,"@AppleSupport lost my iPhone, not where iPad ""lost my"" says.. What should I do?"
APPS,Does criminal case game or 8 ball pool drains battery? I am at ios 10.3.3 and my phone was 100% when i slept and now it 39%. @AppleSupport @134114 @134115 @115858
HARDWARE,@AppleSupport hi ! Can we have my battery health on my iPhone 6 checked ?
IOS,@AppleSupport WHY THE FUCK AM I STILL SEEING QUESTION MARK BOXES IM UPDATED AF WHY????????
ICLOUD,@AppleSupport I deleted texts by mistake. iPhone backed up automatically and erased last backups. Unable to restore backup cuz older backups don't appear on iTunes to select from although I see it in my computer. No iCloud backup. Can I do anything to retrieve the texts?
HARDWARE,@AppleSupport battery awful since update IOS 11.1 why?? Can I go back and undo update??
HARDWARE,ok why did my phone run out of battery at 45% ? @AppleSupport smh
IOS,@AppleSupport ever since iOS 11 update my brightness has been absolutely screwed. Any suggestions??
HARDWARE,Just received new unit of iPhone X. First had horrible yellow screen and this is even worse. Is @AppleSupport gonna finally admit that the some screens are not as good as they claim to be? @116333 #Apple #iPhoneX
ICLOUD,Four videos are suddenly gone from my phone...would the automatic iCloud backing-up do that? Clear space by transferring them there?? That's the only thing that could make any sense. @AppleSupport
HARDWARE,@AppleSupport OK. So why whenever I close my Macbook or let my screen sleep I have to power it off and on to make it work? Shouldn't have upgraded.
COMPLAIN,@AppleSupport been trying to get help on the website for hours. No response and nobody free to chat to. I can't update my phone and I think it has a virus. Any help?
NETWORK,@AppleSupport Apple Music?? That way I've lost a lot of unnecessary money and I still can't listen to albums and single offline or most of the time even with WIFI because it keeps telling me I need an Apple Music plan for my ITUNES music?? please help
HARDWARE,@AppleSupport why is my battery dying twice as fast on my brand new iphone x than it did on my year old iphone 7+ ?? like seriously the battery is  draining super quick
APPS,"@AppleSupport @115858 sometimes I get these emails that are full of dates, times, and things to do that I wish I could just take a screenshot of it and attach in my calendar. Is this a possibility?"
IOS,Everytime I open my @115948 it freezes and I have the latest update. Help!? @AppleSupport
HARDWARE,"@AppleSupport Hi I would like to ask a question about the iPhone X, Is it alright if is swim with it if I have a screen protector on it?"
ICLOUD,"@AppleSupport on my iPad 2 (iOS 9.3.5), I can't backup to iCloud, iBooks doesn't show my books in iCloud. Can't see what I've purchased in AppStore, iBooks, iTunes, Music, Videos. I reset it and found no iCloud backups when there should be. Any ideas?"
IOS,So I've had my iphone 6s LESS than a day and already it's doing what my iPhone 6 was doing... keeps restarting even though I've got the latest update on my current phone? Whats going on @AppleSupport
HUMAN,@AppleSupport hi i just lost my iphone 7 plus. Can you block my imei and no one can not use my iphone?
HARDWARE,"I got my phone fixed 2 weeks ago and I just dropped my phone with a case on it ON CARPET from at MOST four feet, and my screen shattered.... @AppleSupport how?"
NETWORK,My MacBook prioritized the tethering internet from my #iphoneX over Wifi and @5148 now slows me down to unusable internet speeds. Any advice to circumvent that @AppleSupport ? @136635
APPS,@AppleSupport why is the icon for certain apps in the @118936 different than the ones that dlonwload to my home screen?
NETWORK,@AppleSupport why tf does my wifi n bluetooth turn on by its self after I turn it off?
ICLOUD,"@AppleSupport before the latest iOS update my 16 GB ipad could correctly optimise the iCloud Photo Library storage. But now storage usage of Photos on the iPad is ballooning, making the iPad unusable. Is there any way to flush the locally stores pictures?"
HARDWARE,@AppleSupport Is there any way to check the overall battery health of my iPhone 6?
IOS,"@AppleSupport, did #HighSierra kill my old trackpad?  After the recent update, no more trackpad. Bounces between connected and mostly not."
APPS,Hey @AppleSupport - Over the last few days my messages app on  my iMac and MBA stopped syncing with my iMessages from my iOS devices.  Any ideas on how to fix this problem?  I've lost one of my favorite parts of #AppleSimplicity
APPS,The new update to my #iMac messed up my play/pause button. It no longer controls Spotify but the videos on my facebook timeline and inside safari. @AppleSupport How do I fix this?
ICLOUD,@AppleSupport Is there a way to save the photos you have on a external hard drive to iCloud?
HARDWARE,Yo @AppleSupport - my wifes iPhone 6s drops from 80% battery to 20% in seconds. 5 minutes later it'll be at 5%. You plug it back in and it'll immediately jump back up to 75%. What's up with that?
HARDWARE,"@AppleSupport Hi, how can I check my iPhone's battery health? Any way without going to an Apple Store?"
IOS,Why does my Siri sound fucked up!!! Anyone else having this problem?? @AppleSupport
APPS,"@AppleSupport Do I have to buy an iPhone 8 directly from Apple to be eligible for AppleCare+ or can I buy the phone separately and add AC+ afterwards, as long as it's within 60 days of my purchase?"
IOS,"@AppleSupport  I have a problem with my iPhone. I typed the code too many times and now my device is disabled. If I set it to recovery mode and want to restore it, the iPhone won't be reset. I also can not use iTunes because I can not access the homescreen, what can i do?"
IOS,"@AppleSupport hi, since upgrading iOS I can no longer take screenshots. Has this feature been removed?"
HARDWARE,"@AppleSupport Hi, any thoughts on why my iPhone is suddenly making a crackling sound when I refresh Twitter, as  an example. Sounds vaguely like an electrical interference?  Thanks."
HARDWARE,@AppleSupport anyway to check the overall battery health of my iPhone?
HARDWARE,@AppleSupport Hi I updated software on Monday to 11.1.2 and since then my battery has been draining very quickly can you help?
NETWORK,"@AppleSupport do you have a problem in your servers ?I updated my Iphone 7, asked me to login to itunes, but it won't do it, a message: ""There was a problem connecting to the server...etc"" and another message: ""KVC synchronizeWithCompletionHandler Failed""how to fix it please ?"
HARDWARE,"@AppleSupport hi you guys, can you finally fix the problem with battery drain on iphone 6? thx"
HARDWARE,"@AppleSupport So guys, any plans for a new update? cause this 11.1.2 just drain my batery with no reason. I cant put my phone on charger 3x per day. Come on"
IOS,MY PHONE WONT FUCKING GO OFF HEADPHONE MODE @AppleSupport thoughts?
IOS,@AppleSupport why every time I go to update of download an app I have to turn my phone on and off for it to work!?
ICLOUD,"Anyone knows how to disconnect from iCloud? Last iOS update transferred my files to the iCloud (!). If I try to turn it off, it offers to delete my files from the computer and store them in the iCloud. What the hell is going on, @AppleSupport?"
HARDWARE,"Hi @AppleSupport, could you pls explain why, since I downloaded yr iOS update, my iPhone crashes at 10%,  20%, even 40% battery? Massively inconvenient at best."
HUMAN,"@AppleSupport How long do I have to wait after ""invalid verification code entered too many times""? I can't update/download any apps"
HARDWARE,@AppleSupport How can I tell if I need a new battery for my iPhone 6S?
HARDWARE,@AppleSupport can you tell me why the new updates now make my iphone6s die at 40% battery? Or if charged overnight to 100% it dies as soon as its unlocked
HARDWARE,@AppleSupport It's issue with every iPhone X user. What you will help if i DM you ? either fix issuw with software update or return my money back. iPhone 8 and 8 plus gives better battery life than iPhone X @116333
HARDWARE,@AppleSupport @116333 Hello don't you have time to respond ? Worst battery is bugging me daily. Just return my money and take back your pathetic device. 102000 lakh INR and worst battery. Are you kidding me ? @116333
IOS,Anyone else's phone possessed by demons after the most recent IOS update? My phone will call/text/facetime/open apps/fav tweets and react to texts without me even touching the screen! @AppleSupport help me out!
APPS,@AppleSupport if I sell an apple product can the AppleCare+ be passed over to the buyer?
ICLOUD,"@AppleSupport I upgraded to iPhone8 from 6s, and am wondering if I could find out how many old (6s) backups I still have on iCloud. Are backups identified by device?"
HARDWARE,"@AppleSupport iOS 11.1.2 on iPhone6: battery still drains suddenly (40% to 9% in 5 mins), even the low power mode warning is skipped and it switches off. Was fine with 11.0.x. Are you aware of this?"
APPS,"@AppleSupport the latest iOS update is making it that when we FaceTime, both ends have stretched videos.. makes u look like a cone head. Any suggestions on what we should try, or do we have to wait for another bug fix from u guys ? #MoreIOSissues #help"
NETWORK,@AppleSupport hey! how can I update my iphone using cellular data?
NETWORK,"@AppleSupport if i buy the WiFi only iPad, can i later add the cellular package to it?"
NETWORK,"@AppleSupport hi my iPhone 6S running iOS 11.2 can't send and receieve iMessages or send and receive Facetime calls? I've tried restarting my phone, logging in and out of iMessage, and resetting my network settings but none of that worked..."
APPS,"@AppleSupport mate, I lost a song that I buy, I don't know how it happen, can I get it back?"
APPS,@AppleSupport how do i back up to my computer and update ipod/iphone apps now that itunes doesn't do it?
HARDWARE,"@115858 @AppleSupport so I have an iPhone 6 and whenever I press the screen slightly harder then usual, it makes a clicking sound. Should I be worried at all?"
HARDWARE,@AppleSupport how can i check the battery health on my iphone5? it often shuts down at 30% or so
HARDWARE,How sad. My iPhone 6s Plus battery has become the worst thing ever. @AppleSupport please explain because it's only a year old?
IOS,When did @115858 phones start lagging?iPhone SE started lagging after latest iOS update. Intentional @AppleSupport ?So that I upgrade my phone?
NETWORK,@AppleSupport how do I stop my WiFi from automatically connecting to a network by itself?
COMPLAIN,Anyone else finding @AppleSupport over promises then fails to deliver? I've lost total confidence in the brand after macbookpro just stops working one day
HARDWARE,"@AppleSupport my iPhone 6s seems to be losing battery VERY quickly. (Gone from 30% to 9% in about 20 mins) is it worth taking to a Genius Bar, can they check battery function?"
COMPLAIN,Last @115858 iOS update sucks!!!! Slow down my #iPhone6 and the battery dies so fast. Is this the way you're trying to sell iPhones? @AppleSupport Mobiles shouldn't have #PlannedObsolescence #mobile #iPhone #iPhone6 #iPhoneUpdate #AppleLovers
HUMAN,"@AppleSupport hi there , i lost my password , how can i reset to my Email? The password you entered to unlock your iPhone backup was incorrect. Please try again."
PURCHASE,@115858 @AppleSupport If I were to buy an apple product today with student discount would I be eligible to receive the black Friday event gift card?
HARDWARE,@AppleSupport how do i check the battery health on my iphone 7 plus?
APPS,@AppleSupport why is my clock or notifications not coming up on my lock screen?
HARDWARE,"Ok, @AppleSupport, you're officially losing a customer. My iPhone 6s is useless since the ios update. Battery is dead within a couple hours. Why does this happen every time you update ios? So sick of this. I now have a useless phone."
IOS,"@115858 can you please fix the full screen mode, so that the keyboard shortcut for switching between application windows works? This is really annoying! @AppleSupport"
IOS,@AppleSupport any ideas why my iPhone x won't verify the initial update when setting up the phone? I have been trying to do this for over 2 hours now....
PURCHASE,"@AppleSupport Bought a laptop a week ago, do I have to return and re-buy to get the gift card offered today?  Any other way to avoid putting a now used laptop back into your system?"
HARDWARE,"@150616 @AppleSupport Hi, just wondering if you have any battery issues on 6s plus? I have the same device and am wary about upgrading to 11. Thanks"
IOS,@AppleSupport My iPhone X was delivered this morning. Four hours later my initial giddiness has been replaced with utter frustration as it won't get past the iOS 11.1.2 update install and verification. WTF is wrong here Apple? The worst iPhone install experience possible!
HARDWARE,"@AppleSupport 6s, battery life, and charging functions, what are we doing about this?"
APPS,What is happening to @115858 I have lost 70% of my contact list suddenly. How do I recover? Several other day to day glitches as well. Fix it @AppleSupport
HARDWARE,@AppleSupport how much would it cost to get an iphone 7 screen fixed after it had been smashed?
HARDWARE,@AppleSupport my battery has drained down to 43% percent in less than 20 minutes. New normal? I have been told by your Genius Bar that other companies make devices. Should I end my loyalty with Apple?
HARDWARE,@AppleSupport please help my iPhone 7 is freezing constantly and keeps going to a black screen forcing a restart feels like every 10 min - what can I do?
IOS,@AppleSupport what's up with the slow and glitchy function of the new iOS? Since I updated (and re-updated) everything is 5x slower than before.
COMPLAIN,"@applesupport nothing but woes since installing 10.13.1: network not recognized, Gmail doesn't load sometimes, network disconnect, re-entering password repeatedly, etc. How can you lunch since a bugged up OS?"
PURCHASE,"@AppleSupport Hello, I'm planning to buy Iphone X from apple store and i have a trip to Europe - Bulgaria. There is a One-time payment option which says Unlocked iPhone with Sprint SIM for 999. Will I be able to use the phone with Telenor sim?"
ICLOUD,@AppleSupport I've got a new phone and want to save all my pictures to a pc from iCloud how do I do that?
APPS,@AppleSupport when are we getting updates to fix the bugs with the screen recorder? it doesn't play audio when I record it from safari
APPS,"@AppleSupport since the last few updates, my mail app is playing up. Open it, delete a couple of mails, the screen goes grey then the app closes. Is this problem known about?"
HARDWARE,@AppleSupport  I've noticed a steady deterioration in the battery life of my iPad Air 2 running iOS 11. It's three years old. Is there a way to run a diagnostics test to determine the battery condition?
HUMAN,@AppleSupport Hi updated and restarted everything and still getting the same message?
APPS,"@153193 @AppleSupport So every time an update comes out for iOS, WhatsApp does not alert you to texts or calls? Are any other apps suffering from this?"
HARDWARE,@AppleSupport iPhone 6s just died with half full battery... why?
ICLOUD,"@AppleSupport I use @115948 on my iPhone and iPad, is there any reason why the 'iCloud music library' button continously turns off on it own on my iPhone?!#iPhone #AppleMusic #iPhoneHelp"
COMPLAIN,"@115858 @AppleSupport i had 16,000 pics on my phone yesterday, 1,000 this morning and now only 500. The pics i took 10 mins ago aren't on my phone. can u get ur shit together ??? ty :)"
HARDWARE,#iOS11.1.2! DO NOT Update TO IOS11.1.2. My iPhone 6s was working perfectly until i updated and now my battery is draining like crazy. Now what?! @AppleSupport
COMPLAIN,"@AppleSupport Unless I'm missing something that can be changed in the settings to correct this issue, this change is a pain in the ass. Is there anything I can do on my end? Are you already aware of the issue? Plan on fixing in an update? Please advise. THANKS. #iOS11 #iPhone #iPad #apple"
ICLOUD,"@AppleSupport Is ""Siri voice"" synced via iCloud? All my devices now use American (Female) despite me only changing it on my iPhone yesterday?"
PURCHASE,@AppleSupport Ok I can buy it and add more memory later?
PURCHASE,"@AppleSupport Question: if I buy a new iMac with 8 GB of ram, can I add more later or I have to buy it with the amount I need and can not add more?"
HARDWARE,@AppleSupport I think iOS 11.1.2 is draining my iPhone 7 Plus battery quite heavily..?
HARDWARE,@AppleSupport 1-iP8+  is powered by the same brains as the X 2-iP8+ and the X have nearly identical rear cameras. 3-We can't see even the battery percent in X and the problem with the apps it's very big.4-The ip8+ has a better battery life than X! Even the ip7+ is a very good iPhone!! So?
HARDWARE,@AppleSupport Hi. Is it possible to check the overall battery health on my iPhone 6?
HARDWARE,@AppleSupport why my battery life drain so fast and lag playing any games when I upgrade iOS to 11.1.2 in iPhone 7? Please fix the problem please
HARDWARE,Every time I turn my phone on Bluetooth randomly turns on and kills my battery @AppleSupport wyd?
HARDWARE,@AppleSupport ever since I updated to iOS 11 my battery seems to run out really quickly. Any suggestions why? Please fix x
HARDWARE,@AppleSupport I received my iPhone X a few days ago and notice the speaker cracking at high volume during video and music. Will this be fixed with a software update or?
IOS,@AppleSupport @AppleSupport is this connected to keychain vulnerabilities on the last update?
ICLOUD,"@AppleSupport hi, I lost my iPhone about two weeks ago, I still enable find my iPhone for it, and today my iCloud account was locked. I have unlocked it, but could you check whether someone has tried to log into my iCloud account or why it was locked? Thanks"
HARDWARE,"@AppleSupport  hi, if I take in my iPhone 7+ screen to be replaced, how long does it take?"
HARDWARE,@AppleSupport my mom can't open her ip7 since this morning. The battery is super drained. How do I fix this issue? #AppleSupport #Iphone7 #Iphone7Battery
ICLOUD,@AppleSupport ...in your system to be able to use my old icloud?
COMPLAIN,@AppleSupport both my mom and I were transferred to an Apple care rep from Verizon. After being on hold for ~10 minutes the line went dead. Lazy Apple care reps tonight?
ICLOUD,"@AppleSupport My iPhone won't backup to iCloud whenever I plug in. I've been trying all week and nothing will work. When I go to settings and click back up now, it never finishes. Would resetting all the settings fix things?"
APPS,"@AppleSupport Hello, I am able to open my MacBook EVERY NOW AND THEN with High Sierra without a password or Touch ID even though I have ""Require password immediately after sleep or screen save begins"". What the heck, @115858?"
APPS,"Dear @AppleSupport , What happend with your Mail app after the latest two ios updates?"
ICLOUD,@AppleSupport how can I delete my icloud account?
IOS,@AppleSupport The new version 11 sure is CRUMMY......slow......unresponsive........what a stupid piece of crap update Don't you test 1st?
COMPLAIN,@AppleSupport how come every time I update my phone it only gets slower and painful to use? Perhaps a scheme forcing me to get a new one?
IOS,@AppleSupport the new update sucks. Do I need my cellular data on to send texts to non iPhone friends?
HARDWARE,@115858 @AppleSupport the #iOS11.01 Update is still killing my battery on my iPad Pro Gen 1 ?
NETWORK,@AppleSupport could you guys look into wifi automatically switching on and off ever since the update? K thanx byee
ICLOUD,@AppleSupport I have upgraded my Iphone IOS 11.2 and all photos are gone! Is possible to retrieve it in the Icloud?
APPS,@AppleSupport Could this have something to do with the iPhone X how it has that camera in the top of the screen?
APPS,@160214 @AppleSupport mine keeps changing my screen brightness ?
HARDWARE,"@AppleSupport my iPhone battery has been draining WAY TOO FAST since this morning, and I just updated to iOS 11.0.2! Can u help with this?"
IOS,"Update my phone to #iOs11.Maybe 1/3 of my pics are showing in my Photos app. ummm.... @AppleSupport, when will they repopulate?"
HARDWARE,"@AppleSupport urgh!! The new update is awful! My battery is being drained, the design is hideous! What is going on?!!!"
HARDWARE,"@AppleSupport I drained the battery down to 0 then rebooted and it seems to be working again, albeit a little laggy. Will there be an update to fix this?"
COMPLAIN,@AppleSupport split screen capabilities on new firmware?
HARDWARE,"@AppleSupport 11.0.1 update drains my battery faster than 11, come on Apple!  Are you pushing me to Samsung?"
HARDWARE,@AppleSupport can you please help me check the overall battery health of my iPhone 5s? Many thanks.
HARDWARE,"Welp, iOS 11.0.2 has officially ruined my battery. Have charged my iPhone 7 three times today. @115858 @AppleSupport will 11.0.3 resolve?"
